courier_id,city_id,city_name,vehicle_type,status,orders_handled,avg_delivery_time,avg_estimated_sla,avg_shift_earnings,total_earnings,avg_rating_given,avg_acceptance_rate,avg_completion_rate
COU_6_0910,6,Stuttgart,bike,inactive,0,0.00,0.00,49.07,785.15,0.00,0.763,0.784
COU_6_0911,6,Stuttgart,car,inactive,0,0.00,0.00,52.41,786.09,0.00,0.765,0.804
COU_6_0912,6,Stuttgart,car,active,0,0.00,0.00,48.74,633.68,0.00,0.761,0.775
COU_6_0913,6,Stuttgart,scooter,active,0,0.00,0.00,54.13,703.72,0.00,0.716,0.794
COU_6_0914,6,Stuttgart,bicycle,suspended,0,0.00,0.00,54,809.97,0.00,0.744,0.785
COU_6_0915,6,Stuttgart,bicycle,suspended,0,0.00,0.00,55.59,722.61,0.00,0.73,0.754
COU_6_0916,6,Stuttgart,bicycle,churned,0,0.00,0.00,51.33,718.57,0.00,0.77,0.725
COU_6_0917,6,Stuttgart,bicycle,active,0,0.00,0.00,49.59,842.95,0.00,0.79,0.792
COU_6_0918,6,Stuttgart,bicycle,inactive,0,0.00,0.00,51.27,769.03,0.00,0.725,0.796
COU_6_0919,6,Stuttgart,car,active,0,0.00,0.00,49.02,784.33,0.00,0.764,0.797
COU_6_0920,6,Stuttgart,car,inactive,0,0.00,0.00,56.86,796.03,0.00,0.76,0.74
COU_6_0921,6,Stuttgart,bicycle,inactive,0,0.00,0.00,58.15,697.84,0.00,0.755,0.806
COU_6_0922,6,Stuttgart,car,suspended,0,0.00,0.00,59.75,776.7,0.00,0.814,0.812
COU_6_0923,6,Stuttgart,scooter,churned,0,0.00,0.00,55.5,610.52,0.00,0.742,0.777
COU_6_0924,6,Stuttgart,bike,suspended,0,0.00,0.00,48.62,680.68,0.00,0.729,0.736
COU_6_0925,6,Stuttgart,bike,active,0,0.00,0.00,53.01,742.08,0.00,0.758,0.75
COU_6_0926,6,Stuttgart,bike,inactive,0,0.00,0.00,58.95,648.44,0.00,0.755,0.78
COU_6_0927,6,Stuttgart,bike,churned,0,0.00,0.00,60.15,661.61,0.00,0.788,0.774
COU_6_0928,6,Stuttgart,bicycle,active,0,0.00,0.00,50.79,914.29,0.00,0.765,0.778
COU_6_0929,6,Stuttgart,scooter,churned,0,0.00,0.00,54.27,542.74,0.00,0.835,0.751
COU_6_0930,6,Stuttgart,bike,inactive,0,0.00,0.00,58.12,988.1,0.00,0.757,0.802
COU_6_0931,6,Stuttgart,scooter,suspended,0,0.00,0.00,47.21,660.96,0.00,0.752,0.747
COU_6_0932,6,Stuttgart,car,suspended,0,0.00,0.00,50.89,559.78,0.00,0.788,0.804
COU_6_0933,6,Stuttgart,scooter,suspended,0,0.00,0.00,50.89,814.21,0.00,0.706,0.773
COU_6_0934,6,Stuttgart,scooter,active,0,0.00,0.00,53.09,796.37,0.00,0.799,0.785
COU_6_0935,6,Stuttgart,car,active,0,0.00,0.00,60.93,670.24,0.00,0.727,0.825
COU_6_0936,6,Stuttgart,scooter,churned,0,0.00,0.00,57.02,855.25,0.00,0.789,0.77
COU_6_0937,6,Stuttgart,bicycle,suspended,0,0.00,0.00,47.11,706.65,0.00,0.745,0.756
COU_6_0938,6,Stuttgart,bicycle,churned,0,0.00,0.00,50.15,802.46,0.00,0.714,0.742
COU_6_0939,6,Stuttgart,bicycle,active,0,0.00,0.00,51.79,828.58,0.00,0.779,0.751
COU_6_0940,6,Stuttgart,bike,inactive,0,0.00,0.00,58.21,756.77,0.00,0.763,0.774
COU_6_0941,6,Stuttgart,car,churned,0,0.00,0.00,54.77,876.29,0.00,0.768,0.804
COU_6_0942,6,Stuttgart,car,churned,0,0.00,0.00,45.58,729.32,0.00,0.791,0.822
COU_6_0943,6,Stuttgart,car,suspended,0,0.00,0.00,52.83,792.51,0.00,0.796,0.751
COU_6_0945,6,Stuttgart,bicycle,inactive,0,0.00,0.00,42.68,597.48,0.00,0.819,0.778
COU_6_0946,6,Stuttgart,bicycle,active,0,0.00,0.00,47,752.06,0.00,0.748,0.801
COU_6_0947,6,Stuttgart,scooter,active,0,0.00,0.00,41.92,586.88,0.00,0.821,0.734
COU_6_0948,6,Stuttgart,scooter,active,0,0.00,0.00,54.98,879.63,0.00,0.808,0.813
COU_6_0949,6,Stuttgart,car,active,0,0.00,0.00,59.57,833.94,0.00,0.759,0.752
COU_6_0950,6,Stuttgart,car,inactive,0,0.00,0.00,56.99,683.91,0.00,0.726,0.749
COU_6_0951,6,Stuttgart,bicycle,inactive,0,0.00,0.00,44.99,719.82,0.00,0.751,0.769
COU_6_0952,6,Stuttgart,car,churned,0,0.00,0.00,54.41,979.47,0.00,0.75,0.801
COU_6_0953,6,Stuttgart,scooter,active,0,0.00,0.00,52.87,740.2,0.00,0.699,0.769
COU_6_0954,6,Stuttgart,scooter,suspended,0,0.00,0.00,50.45,756.77,0.00,0.732,0.776
COU_6_0955,6,Stuttgart,scooter,active,0,0.00,0.00,54.99,714.84,0.00,0.78,0.802
COU_6_0956,6,Stuttgart,car,active,0,0.00,0.00,54.23,650.79,0.00,0.678,0.762
COU_6_0957,6,Stuttgart,scooter,inactive,0,0.00,0.00,53.19,904.21,0.00,0.791,0.775
COU_6_0958,6,Stuttgart,car,churned,0,0.00,0.00,53.29,639.48,0.00,0.738,0.787
COU_6_0959,6,Stuttgart,bicycle,suspended,0,0.00,0.00,54.79,821.87,0.00,0.726,0.744
COU_6_0960,6,Stuttgart,bike,suspended,0,0.00,0.00,46.46,696.92,0.00,0.722,0.767
COU_6_0962,6,Stuttgart,bicycle,active,0,0.00,0.00,54.67,656.03,0.00,0.779,0.828
COU_6_0963,6,Stuttgart,car,active,0,0.00,0.00,48.32,821.38,0.00,0.806,0.77
COU_6_0964,6,Stuttgart,bike,active,0,0.00,0.00,53.55,696.21,0.00,0.731,0.763
COU_6_0965,6,Stuttgart,car,churned,0,0.00,0.00,61.66,863.25,0.00,0.718,0.742
COU_6_0966,6,Stuttgart,bicycle,active,0,0.00,0.00,50.29,653.75,0.00,0.77,0.792
COU_6_0967,6,Stuttgart,bike,inactive,0,0.00,0.00,58.31,816.34,0.00,0.773,0.788
COU_6_0968,6,Stuttgart,scooter,suspended,0,0.00,0.00,59.28,711.35,0.00,0.773,0.799
COU_6_0969,6,Stuttgart,scooter,inactive,0,0.00,0.00,51.77,673.05,0.00,0.706,0.738
COU_6_0970,6,Stuttgart,bicycle,suspended,0,0.00,0.00,46.57,698.6,0.00,0.732,0.768
COU_6_0971,6,Stuttgart,car,inactive,0,0.00,0.00,53.2,638.39,0.00,0.721,0.755
COU_6_0972,6,Stuttgart,scooter,inactive,0,0.00,0.00,52.26,783.96,0.00,0.774,0.776
COU_6_0973,6,Stuttgart,bicycle,suspended,0,0.00,0.00,58.85,941.64,0.00,0.766,0.794
COU_6_0974,6,Stuttgart,bicycle,inactive,0,0.00,0.00,49,587.98,0.00,0.764,0.78
COU_6_0975,6,Stuttgart,scooter,churned,0,0.00,0.00,47.1,565.15,0.00,0.794,0.794
COU_6_0976,6,Stuttgart,bicycle,churned,0,0.00,0.00,45.79,595.25,0.00,0.784,0.769
COU_6_0978,6,Stuttgart,bicycle,inactive,0,0.00,0.00,50.7,709.76,0.00,0.751,0.74
COU_6_0979,6,Stuttgart,car,active,0,0.00,0.00,58.11,813.52,0.00,0.712,0.756
COU_6_0980,6,Stuttgart,car,active,0,0.00,0.00,58.12,697.4,0.00,0.733,0.777
COU_6_0981,6,Stuttgart,bicycle,suspended,0,0.00,0.00,54.35,434.79,0.00,0.801,0.778
COU_6_0982,6,Stuttgart,bike,churned,0,0.00,0.00,45.9,688.46,0.00,0.754,0.746
COU_6_0983,6,Stuttgart,bicycle,suspended,0,0.00,0.00,55.69,612.59,0.00,0.71,0.78
COU_6_0984,6,Stuttgart,car,churned,0,0.00,0.00,47.17,660.35,0.00,0.75,0.751
COU_6_0985,6,Stuttgart,bike,inactive,0,0.00,0.00,38.11,533.52,0.00,0.743,0.779
COU_6_0986,6,Stuttgart,scooter,inactive,0,0.00,0.00,46,598.06,0.00,0.74,0.762
COU_6_0988,6,Stuttgart,bike,active,0,0.00,0.00,51.53,773.01,0.00,0.684,0.766
COU_6_0989,6,Stuttgart,scooter,active,0,0.00,0.00,57.04,627.49,0.00,0.751,0.771
COU_6_0990,6,Stuttgart,bike,inactive,0,0.00,0.00,53.33,746.56,0.00,0.732,0.747
COU_6_0991,6,Stuttgart,car,churned,0,0.00,0.00,53.43,854.94,0.00,0.727,0.79
COU_6_0993,6,Stuttgart,scooter,active,0,0.00,0.00,54.2,813,0.00,0.714,0.742
COU_6_0994,6,Stuttgart,bicycle,churned,0,0.00,0.00,54.04,648.45,0.00,0.744,0.768
COU_6_0996,6,Stuttgart,car,churned,0,0.00,0.00,56.68,793.47,0.00,0.717,0.732
COU_6_0997,6,Stuttgart,bike,churned,0,0.00,0.00,63.83,829.83,0.00,0.763,0.747
COU_6_0998,6,Stuttgart,bike,suspended,0,0.00,0.00,50.99,815.9,0.00,0.755,0.816
COU_6_0999,6,Stuttgart,car,inactive,0,0.00,0.00,54.12,595.27,0.00,0.8,0.749
COU_7_0800,7,Dusseldorf,bicycle,suspended,0,0.00,0.00,49.45,840.58,0.00,0.765,0.766
COU_7_0801,7,Dusseldorf,scooter,active,0,0.00,0.00,48.32,628.18,0.00,0.803,0.775
COU_7_0802,7,Dusseldorf,scooter,churned,0,0.00,0.00,43.85,657.74,0.00,0.778,0.771
COU_7_0803,7,Dusseldorf,car,active,0,0.00,0.00,51.97,883.56,0.00,0.793,0.82
COU_7_0804,7,Dusseldorf,scooter,active,0,0.00,0.00,56.18,898.9,0.00,0.687,0.772
COU_7_0806,7,Dusseldorf,bicycle,inactive,0,0.00,0.00,56.88,739.47,0.00,0.768,0.797
COU_7_0807,7,Dusseldorf,scooter,inactive,0,0.00,0.00,52.63,842.06,0.00,0.771,0.756
COU_7_0808,7,Dusseldorf,car,suspended,0,0.00,0.00,48.32,628.16,0.00,0.758,0.773
COU_7_0809,7,Dusseldorf,bike,active,0,0.00,0.00,55.81,613.94,0.00,0.684,0.74
COU_7_0810,7,Dusseldorf,bicycle,active,0,0.00,0.00,50.19,602.26,0.00,0.721,0.793
COU_7_0811,7,Dusseldorf,scooter,active,0,0.00,0.00,54.53,599.79,0.00,0.787,0.794
COU_7_0812,7,Dusseldorf,bike,suspended,0,0.00,0.00,42.48,637.14,0.00,0.809,0.795
COU_7_0813,7,Dusseldorf,car,inactive,0,0.00,0.00,56.24,674.87,0.00,0.755,0.822
COU_7_0814,7,Dusseldorf,scooter,churned,0,0.00,0.00,56.82,738.67,0.00,0.712,0.789
COU_7_0815,7,Dusseldorf,scooter,inactive,0,0.00,0.00,47.82,717.27,0.00,0.752,0.817
COU_7_0816,7,Dusseldorf,car,churned,0,0.00,0.00,45.07,631.04,0.00,0.761,0.75
COU_7_0817,7,Dusseldorf,car,active,0,0.00,0.00,48.36,628.7,0.00,0.75,0.769
COU_7_0818,7,Dusseldorf,scooter,suspended,0,0.00,0.00,57.87,694.44,0.00,0.726,0.774
COU_7_0819,7,Dusseldorf,bike,active,0,0.00,0.00,51.6,567.62,0.00,0.786,0.752
COU_7_0820,7,Dusseldorf,bicycle,suspended,0,0.00,0.00,69.73,906.54,0.00,0.716,0.765
COU_7_0821,7,Dusseldorf,bicycle,active,0,0.00,0.00,58.54,819.51,0.00,0.792,0.792
COU_7_0822,7,Dusseldorf,scooter,inactive,0,0.00,0.00,43.94,703.03,0.00,0.74,0.789
COU_7_0823,7,Dusseldorf,car,suspended,0,0.00,0.00,50.74,811.78,0.00,0.697,0.816
COU_7_0824,7,Dusseldorf,car,inactive,0,0.00,0.00,56.22,787.1,0.00,0.674,0.794
COU_7_0825,7,Dusseldorf,bicycle,suspended,0,0.00,0.00,44.91,628.76,0.00,0.782,0.791
COU_7_0826,7,Dusseldorf,scooter,inactive,0,0.00,0.00,47.08,847.44,0.00,0.765,0.79
COU_7_0827,7,Dusseldorf,bike,inactive,0,0.00,0.00,57.93,637.22,0.00,0.815,0.799
COU_7_0828,7,Dusseldorf,car,active,0,0.00,0.00,49.85,697.95,0.00,0.778,0.748
COU_7_0829,7,Dusseldorf,scooter,churned,0,0.00,0.00,50.75,608.96,0.00,0.74,0.815
COU_7_0830,7,Dusseldorf,scooter,churned,0,0.00,0.00,36.5,547.45,0.00,0.729,0.748
COU_7_0831,7,Dusseldorf,bike,inactive,0,0.00,0.00,56.32,732.22,0.00,0.721,0.761
COU_7_0832,7,Dusseldorf,car,active,0,0.00,0.00,54.99,549.86,0.00,0.738,0.764
COU_7_0833,7,Dusseldorf,bicycle,suspended,0,0.00,0.00,46.25,786.28,0.00,0.791,0.773
COU_7_0834,7,Dusseldorf,car,churned,0,0.00,0.00,59.98,1019.62,0.00,0.73,0.745
COU_7_0835,7,Dusseldorf,scooter,active,0,0.00,0.00,54.5,817.45,0.00,0.711,0.768
COU_7_0836,7,Dusseldorf,bike,churned,0,0.00,0.00,59.12,827.71,0.00,0.751,0.807
COU_7_0838,7,Dusseldorf,bike,active,0,0.00,0.00,50.92,356.46,0.00,0.673,0.709
COU_7_0839,7,Dusseldorf,bike,suspended,0,0.00,0.00,45.35,317.42,0.00,0.812,0.817
COU_7_0840,7,Dusseldorf,car,suspended,0,0.00,0.00,44.05,528.64,0.00,0.76,0.756
COU_7_0842,7,Dusseldorf,bicycle,suspended,0,0.00,0.00,42.43,466.75,0.00,0.833,0.858
COU_7_0843,7,Dusseldorf,bike,churned,0,0.00,0.00,53.79,537.89,0.00,0.761,0.684
